time,open,high,low,close,Plot,Plot,Chande MO,Plot,CHOP,CCI,Smoothing Line,CRSI,Plot,Correlation,Plot
2023-08-04T08:30:00-04:00,1.09488,1.0984,1.09332,1.09795,1.094103124,1.097270615,62.02531646,1,38.41318855,371.3286506,65.90925973,92.88257918,0.112942157,0,1.24272E+12
2023-08-04T08:45:00-04:00,1.09795,1.09979,1.09786,1.09885,1.094103124,1.098580554,66.82464455,1,33.56681374,412.3869689,155.2707115,94.34472533,0.262323919,0,1.24231E+12
2023-08-04T09:00:00-04:00,1.09885,1.10219,1.09861,1.1021,1.094103124,1.100743498,81.4893617,1,27.85448908,349.4470774,245.2276729,97.84188933,0.496356827,0,1.2419E+12
2023-08-04T09:15:00-04:00,1.1021,1.10235,1.10105,1.10214,1.094103124,1.100918148,88.55885589,1,28.56462928,257.1749586,303.5528881,81.62902783,0.699632364,0,1.2415E+12
2023-08-04T09:30:00-04:00,1.10214,1.10299,1.10204,1.10258,1.094103124,1.101606334,89.05263158,1,26.57714739,205.5694161,319.1814143,95.45351944,0.899336735,0.518543352,1.24153E+12
2023-08-04T09:45:00-04:00,1.10258,1.10282,1.10112,1.10123,1.094107812,1.101606334,64.94845361,1,28.52756979,145.1394109,273.9435664,23.54027528,1.023104186,0.603247484,1.24158E+12
2023-08-04T10:00:00-04:00,1.10123,1.10151,1.10025,1.10111,1.094146031,1.101606334,71.37293087,1,29.47538282,106.3271148,212.7315956,32.86212859,1.11693569,0.637833721,1.24162E+12
2023-08-04T10:15:00-04:00,1.10111,1.10253,1.10111,1.1017,1.094170428,1.101606334,70.9486166,1,30.41762835,107.0677594,164.255732,72.40724787,1.207310318,0.670063992,1.24173E+12
2023-08-04T10:30:00-04:00,1.1017,1.10283,1.1016,1.10266,1.094449385,1.101606334,72.57462687,1,31.74610882,103.3426541,133.4892711,81.4705408,1.317455623,0.706817996,1.24197E+12
2023-08-04T10:45:00-04:00,1.10266,1.10277,1.10174,1.10233,1.094529446,1.101640848,54.88721805,1,32.40161437,89.67459436,110.3103067,35.47521786,1.376166598,0.729897549,1.24227E+12
2023-08-04T11:00:00-04:00,1.10233,1.10351,1.10184,1.10347,1.094669152,1.102128763,56.20437956,1,32.42874995,91.56193896,99.59481234,79.29584095,1.439624775,0.755724546,1.24258E+12
